ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120007823,A,1998.0,1.0,SE,3.0,Gravel,V,S WAG,HOLDEN,COMMOD,,2,Station Wagon,,R,P,4.0,6.0,5.0,1550.0,1.0,,,SE,1.0,1.0,H,BLU,ZZ,2.0,F,2.0,3,1.0,0.0,No control
T20120007823,B,2007.0,2.0,SE,3.0,Gravel,V,SEDAN,HONDA,JAZZ,,1,Car,,R,P,4.0,4.0,5.0,1050.0,1.0,,,SE,1.0,1.0,H,SIL,ZZ,2.0,R,2.0,3,1.0,0.0,No control
T20120007823,C,2009.0,8.0,SE,3.0,Gravel,V,SEDAN,HONDA,CIVIC,,1,Car,,R,P,4.0,4.0,5.0,1210.0,1.0,,,SE,1.0,17.0,H,GRY,ZZ,2.0,R,2.0,2,2.0,0.0,No control
T20120007824,B,1999.0,1.0,N,1.0,Paved,V,SEDAN,HOLDEN,EQUIPE,,1,Car,,R,P,4.0,6.0,5.0,1350.0,1.0,,,N,1.0,1.0,H,RED,ZZ,2.0,2,2.0,9,9.0,1.0,Stop-go lights
T20120007825,A,1997.0,8.0,N,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,M,4.0,6.0,5.0,1350.0,1.0,,,N,15.0,15.0,H,BLU,ZZ,2.0,R,0.0,1,2.0,1.0,Stop-go lights
T20120007825,B,2005.0,2.0,N,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1647.0,1.0,,,N,15.0,15.0,H,SIL,ZZ,2.0,R,0.0,1,2.0,1.0,Stop-go lights
T20120007825,C,1998.0,1.0,N,1.0,Paved,V,SEDAN,TOYOTA,CAMRY,,1,Car,,R,P,4.0,4.0,5.0,1320.0,1.0,,,N,99.0,1.0,H,BLU,ZZ,2.0,F,0.0,2,2.0,1.0,Stop-go lights
T20120007826,A,1998.0,1.0,NW,1.0,Paved,V,COUPE,DAEWOO,LANOS,,1,Car,,R,P,4.0,4.0,5.0,1050.0,1.0,,,NW,6.0,1.0,H,GRN,ZZ,2.0,F,2.0,2,2.0,99.0,Unknown
T20120007826,B,1999.0,2.0,NW,1.0,Paved,V,S WAG,DAEWOO,NUBIRA,,2,Station Wagon,,R,P,4.0,4.0,5.0,1150.0,1.0,,,NW,99.0,1.0,H,SIL,ZZ,2.0,R,2.0,1,2.0,99.0,Unknown
T20120007827,A,2002.0,1.0,S,1.0,Paved,V,SEDAN,FORD,FORTE,,1,Car,,R,M,4.0,6.0,5.0,1450.0,1.0,,,S,1.0,6.0,H,RED,ZZ,2.0,1,2.0,4,1.0,0.0,No control
T20120007832,A,1997.0,2.0,S,1.0,Paved,V,SEDAN,FORD,FALCON,,1,Car,,R,P,4.0,6.0,5.0,1461.0,1.0,,,S,1.0,1.0,H,WHI,ZZ,2.0,6,2.0,9,2.0,1.0,Stop-go lights
T20120007833,A,1999.0,2.0,N,1.0,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,P,4.0,4.0,5.0,1050.0,2.0,,,N,1.0,1.0,H,RED,ZZ,2.0,5,2.0,1,2.0,0.0,No control
T20120007837,A,2002.0,1.0,E,1.0,Paved,V,TRAY,HINO,RANGER,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,10400.0,R,P,4.0,4.0,5.0,4760.0,1.0,5640.0,,N,3.0,3.0,H,WHI,ZZ,2.0,8,1.0,6,2.0,1.0,Stop-go lights
T20120007839,A,2010.0,1.0,SE,1.0,Paved,V,DC UTE,NISSAN,NAVARA,,4,Utility,2805.0,R,D,4.0,4.0,5.0,1995.0,1.0,810.0,,SE,2.0,18.0,H,GRY,ZZ,2.0,1,2.0,3,1.0,0.0,No control
T20120007847,A,2011.0,1.0,W,1.0,Paved,V,UTIL,HOLDEN,COMMOD,,5,Panel Van,2840.0,R,P,4.0,6.0,2.0,1707.0,2.0,1133.0,,W,17.0,17.0,H,WHI,ZZ,2.0,F,1.0,3,1.0,0.0,No control
T20120007847,B,1998.0,2.0,W,1.0,Paved,V,SEDAN,FORD,FALCON,,1,Car,,R,P,4.0,6.0,5.0,1450.0,1.0,,,W,15.0,15.0,H,RED,ZZ,2.0,R,1.0,1,2.0,0.0,No control
T20120007851,A,1996.0,2.0,E,1.0,Paved,V,DC UTE,HOLDEN,RODEO,,4,Utility,2740.0,R,P,4.0,4.0,5.0,1350.0,1.0,1390.0,,E,1.0,1.0,H,RED,ZZ,2.0,F,2.0,5,1.0,11.0,Giveway sign
T20120007851,B,2007.0,1.0,S,1.0,Paved,V,SEDAN,SUBARU,IMPREZ,,1,Car,,R,P,4.0,4.0,5.0,1388.0,1.0,,,S,1.0,1.0,H,BLU,ZZ,2.0,2,2.0,5,1.0,0.0,No control
T20120007852,A,2007.0,1.0,S,1.0,Paved,V,UTIL,TOYOTA,HILUX,,4,Utility,2710.0,R,D,4.0,4.0,5.0,1665.0,1.0,1045.0,,S,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,5,1.0,0.0,No control
T20120007852,B,2011.0,2.0,N,1.0,Paved,V,SEDAN,MAZDA,3,,1,Car,,R,P,4.0,4.0,5.0,1270.0,1.0,,,N,1.0,1.0,H,BLK,ZZ,2.0,1,2.0,5,1.0,0.0,No control
T20120007852,C,2009.0,8.0,N,1.0,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,P,4.0,4.0,5.0,1260.0,2.0,,,N,1.0,1.0,H,RED,ZZ,2.0,F,2.0,5,1.0,0.0,No control
